Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-2.676674,-0.6713872,-8.092106
-0.3268089,-1.678468,-2.721081
0.6802884,-0.3356936,1.307174
-3.348015,-0.6713872,-0.03567586
-1.669536,-1.0070797,-6.749611
0.680339,-1.678468,-0.03581006
-0.6624178,-1.0070797,2.649669
0.008986615,-1.34277,3.992373
-1.333772,-0.3356936,-4.064335
-0.6623661,-0.6713872,-2.721631
0.00903749,-0.3356936,-9.435569
0.6804413,-1.0070797,3.992098
0.009071062,-0.6713872,2.649262
0.3447818,-0.3356936,-4.064676
1.0161855,-2.349853,-1.379191
-0.9979585,-1.678468,3.991834
-0.6622473,-1.34277,9.362859
-1.333618,-0.3356936,-1.3794
1.0162526,-1.34277,-1.379466
-1.333585,-1.0070797,2.648789
-1.669261,0,2.648723
-1.669239,1.678468,9.362518
-0.6621461,-2.014155,-1.379741
0.6806448,-3.692623,-0.03703117
-1.669195,-1.34277,9.36232
-1.333486,-2.349853,-1.379939
0.009308673,-1.34277,-0.03723258
-0.3263678,-1.0070797,-5.408403
-1.333431,-0.6713872,6.676494
-1.669107,-2.014155,5.333658
-0.3263172,-1.34277,3.990811
-0.9976868,-1.0070797,-6.751437
-0.3262831,-1.678468,-5.408733
-0.6619591,-0.6713872,1.305062
-0.326249,-1.678468,-1.380555
-1.669008,-1.34277,2.6477
-3.683152,0.3356936,3.990404
-0.661892,-0.3356936,3.990338
2.359368,-1.34277,-1.380819
-1.333244,-1.34277,-5.409217
1.0166266,-2.014155,2.647359
-0.6618238,-2.014155,3.990063
-1.333189,-2.349853,9.361099
-0.6617897,0,-0.03838659
-0.6617732,-3.021238,9.360956
0.3453241,-1.34277,3.989799
-0.9974327,-1.34277,6.675273
-1.333112,-2.685551,-4.066975
-1.33309,-0.3356936,-1.381501
0.009698392,-0.6713872,6.675075
2.695264,-1.34277,2.646688
-0.6616544,0,1.303841
-1.333024,-0.6713872,-5.410097
-2.340085,-1.34277,2.646479
-0.9972963,-1.34277,6.674734
-2.004365,-1.0070797,-0.03920059
-0.9972622,-1.34277,-2.72481
0.009834242,-0.3356936,8.017306
-0.9972292,-1.34277,5.331689
0.6812553,1.34277,2.646072
-0.3258079,-1.34277,1.303236
-1.33287,-1.34277,-5.410702
